Wvlgth nm;Etr W*m-2*nm-1;Global tilt  W*m-2*nm-1;Direct+circumsolar W*m-2*nm-1
345;0,91583;4,5898E-01;2,7854E-01
345,5;0,97021;4,8932E-01;2,9761E-01
346;0,94269;4,7778E-01;2,9132E-01
346,5;0,95594;4,8657E-01;2,9747E-01
347;0,96954;4,9404E-01;3,0318E-01
347,5;0,93318;4,7674E-01;2,9351E-01
348;0,92472;4,7511E-01;2,9306E-01
348,5;0,93721;4,8336E-01;2,9884E-01
349;0,89900;4,6564E-01;2,8864E-01
349,5;0,91969;4,7805E-01;2,9720E-01
350;1,01220;5,2798E-01;3,2913E-01
350,5;1,08490;5,6741E-01;3,5471E-01
351;1,05340;5,5172E-01;3,4603E-01
351,5;1,01290;5,3022E-01;3,3388E-01
352;0,98383;5,1791E-01;3,2674E-01
352,5;0,92600;4,8962E-01;3,0954E-01
353;0,98012;5,2040E-01;3,2975E-01
353,5;1,07520;5,7228E-01;3,6351E-01
354;1,13460;6,0498E-01;3,8523E-01
354,5;1,14400;6,1156E-01;3,9043E-01
355;1,14060;6,1140E-01;3,9140E-01
355,5;1,09640;5,9028E-01;3,7878E-01
356;1,02500;5,5387E-01;3,5627E-01
356,5;0,95914;5,1942E-01;3,3495E-01
357;0,84200;4,5673E-01;2,9527E-01
357,5;0,85015;4,6215E-01;2,9950E-01
358;0,78916;4,3006E-01;2,7936E-01
358,5;0,73100;3,9926E-01;2,5998E-01
359;0,85805;4,6953E-01;3,0650E-01
359,5;1,03210;5,6549E-01;3,7013E-01
360;1,08900;5,9817E-01;3,9240E-01
360,5;1,02650;5,6531E-01;3,7167E-01
361;0,94150;5,2024E-01;3,4278E-01
361,5;0,91800;5,0956E-01;3,3647E-01
362;0,95800;5,3420E-01;3,5350E-01
362,5;1,04500;5,8510E-01;3,8804E-01
363;1,07100;6,0191E-01;4,0005E-01
363,5;1,03800;5,8541E-01;3,8994E-01
364;1,07160;6,0628E-01;4,0472E-01
364,5;1,05900;6,0058E-01;4,0179E-01
365;1,09700;6,2359E-01;4,1810E-01
365,5;1,20410;6,8628E-01;4,6110E-01
366;1,28600;7,3532E-01;4,9508E-01
366,5;1,28430;7,3658E-01;4,9694E-01
367;1,25770;7,2285E-01;4,8869E-01
367,5;1,23170;7,0914E-01;4,8041E-01
368;1,15700;6,6759E-01;4,5319E-01
368,5;1,14590;6,6310E-01;4,5106E-01
369;1,19440;6,9315E-01;4,7244E-01
369,5;1,27950;7,4469E-01;5,0856E-01
370;1,29340;7,5507E-01;5,1666E-01
370,5;1,16600;6,8261E-01;4,6798E-01
371;1,18110;6,9338E-01;4,7628E-01
371,5;1,22490;7,2051E-01;4,9587E-01
372;1,14440;6,7444E-01;4,6506E-01
372,5;1,08760;6,4253E-01;4,4389E-01
373;1,04450;6,1886E-01;4,2833E-01
